Year,Total_Strandings,North_of_Pigeon_Pt,Pigeon_Pt_to_Capitola,Capitola_to_Seaside,Seaside_to_Pt_Lobos,Pt_Lobos_to_Pt_Sur,Pt_Sur_to_Dolan_Rock,Dolan_Rock_to_C_San_Martin,C_San_Martin_to_San_Simeon_Pt,San_Simeon_Pt_to_Cayucos,Cayucos_to_Hazard_Canyon,Hazard_Canyon_to_Pismo_Beach,Pismo_Beach_to_Pt_Sal,Pt_Sal_to_Pt_Conception,SE_of_Pt_Conception
1985,72,0,1,14,11,5,4,0,13,6,13,1,1,1,2
1986,81,3,2,32,18,3,1,0,9,4,9,0,0,0,0
1987,94,5,0,27,19,2,1,0,11,11,8,4,1,1,4
1988,88,6,2,10,21,4,3,3,7,7,18,4,2,0,1
1989,99,2,6,23,13,3,0,1,5,11,26,5,1,3,0
1990,102,3,6,18,17,0,1,4,10,9,27,0,4,2,1
1991,81,3,8,15,19,3,0,1,5,4,16,2,4,0,1
1992,113,3,4,22,24,2,2,1,6,6,20,14,9,0,0
1993,128,10,9,31,25,4,0,0,5,7,17,10,8,2,0
1994,132,5,7,28,21,6,0,1,9,10,23,8,11,1,2
1995,163,10,7,39,33,10,1,6,7,5,25,8,7,4,1
1996,182,13,9,42,23,0,0,3,4,10,49,11,13,5,0
1997,152,7,7,38,19,4,0,0,8,4,34,16,14,1,0
1998,213,20,14,48,48,6,0,0,12,14,34,2,7,5,3
1999,187,12,15,50,23,6,0,1,3,13,34,12,14,0,4
2000,153,11,11,29,20,8,0,0,9,18,23,5,15,1,3
2001,183,7,8,47,21,6,1,1,12,15,32,10,18,2,3
2002,181,5,9,46,23,9,2,1,3,17,28,10,11,12,5
2003,262,9,12,73,30,6,2,3,3,29,62,11,17,2,3
2004,281,14,17,71,24,7,1,3,8,20,77,10,25,2,2
2005,272,8,28,70,28,2,0,1,12,13,74,7,22,7,0
2006,267,9,20,73,25,2,3,0,10,16,53,21,23,9,3
2007,299,11,22,65,32,8,0,1,10,17,79,21,25,5,3
2008,237,11,12,56,33,4,1,4,9,20,54,5,24,1,3
2009,231,7,13,60,33,4,4,1,11,10,50,10,27,1,0
2010,305,6,22,72,41,5,2,2,7,18,64,22,37,5,2
2011,335,10,24,105,23,1,6,1,8,14,72,14,51,2,4
2012,368,5,22,119,32,6,0,2,13,27,75,20,40,3,4
2013,340,1,17,82,33,5,2,1,9,29,78,27,42,5,9
2014,386,8,35,116,33,2,1,1,10,25,74,23,50,4,4
2015,383,3,25,99,40,1,0,2,8,24,84,22,61,13,1
2016,474,1,48,164,52,2,1,0,6,25,73,38,52,8,4
2017,467,7,25,141,67,3,0,0,11,36,80,41,48,7,1
