YEAR,Total,Pups_F,Juvenile_F,SubAdult_F,Adult_F,Old_Adult_F,Unknown_F,Pups_M,Juvenile_M,SubAdult_M,Adult_M,Old_Adult_M,Unknown_M,Pups_U,Juvenile_U,SubAdult_U,Adult_U,Old_Adult_U,Unknown_U
1985,72,2,3,4,13,6,0,2,2,3,12,5,0,3,2,4,3,1,7
1986,81,4,7,6,11,2,0,5,3,9,17,2,1,4,1,1,6,0,2
1987,94,5,2,5,14,8,4,3,9,15,11,8,2,2,0,0,1,0,5
1988,88,7,6,3,12,7,0,8,4,8,15,6,3,3,0,0,2,0,4
1989,99,5,1,7,20,4,4,3,4,7,21,6,2,4,0,0,6,0,5
1990,103,10,0,8,26,6,1,4,4,8,13,6,0,8,0,0,1,0,8
1991,81,5,3,1,20,5,0,6,3,6,17,6,0,5,0,2,1,1,0
1992,113,12,3,4,25,7,0,13,7,4,21,6,0,5,0,2,1,1,2
1993,128,10,5,7,22,6,0,15,3,12,28,8,0,4,1,1,2,0,4
1994,132,20,7,4,21,6,0,18,4,6,29,7,0,3,1,0,5,1,0
1995,163,20,8,12,33,8,0,12,6,10,35,10,0,0,3,0,4,0,2
1996,182,9,5,12,29,6,0,13,13,18,52,16,0,2,3,0,2,0,2
1997,152,16,6,15,33,2,0,13,6,15,27,9,1,2,2,1,2,0,2
1998,213,20,10,13,34,8,0,15,15,18,50,18,0,5,2,1,1,2,1
1999,187,16,10,4,39,12,0,11,16,12,41,17,1,2,0,0,4,0,2
2000,153,8,6,5,37,7,0,12,14,7,34,12,0,2,1,3,2,0,3
2001,183,9,15,11,48,12,1,7,18,11,27,15,0,5,2,0,1,0,1
2002,181,8,11,4,50,12,0,12,10,11,31,25,0,2,1,0,2,0,2
2003,262,22,9,8,55,22,0,17,21,19,52,30,0,2,1,1,0,1,2
2004,281,19,13,18,45,25,0,15,23,25,62,26,0,3,4,0,1,0,2
2005,272,17,20,11,45,11,0,20,26,21,65,16,0,6,3,3,1,1,6
2006,267,19,21,13,52,8,1,20,26,22,59,11,0,4,2,0,1,0,8
2007,299,18,19,19,44,19,0,15,38,30,57,14,1,9,4,2,3,1,6
2008,237,16,19,11,52,14,0,15,24,21,27,14,1,12,5,2,1,0,3
2009,232,15,6,20,54,13,1,6,23,18,51,9,0,7,1,1,2,0,5
2010,305,31,29,16,70,16,0,23,15,15,57,16,0,8,2,2,3,0,2
2011,335,20,17,14,66,14,0,21,16,29,102,21,2,6,2,0,1,0,4
2012,368,26,18,24,78,19,1,21,12,42,86,21,2,5,2,1,0,1,9
2013,340,16,15,25,75,10,1,15,22,30,85,19,0,3,6,0,4,0,14
2014,386,18,15,29,62,13,3,18,21,56,102,12,3,5,8,6,1,1,13
2015,383,20,18,21,75,15,0,20,29,51,88,20,0,3,4,4,9,0,6
2016,474,22,35,38,81,21,1,19,40,61,110,18,1,7,0,5,10,2,3
2017,467,17,25,41,84,18,0,25,34,65,112,10,0,12,4,3,14,1,2
