Year,Age_Class,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,TOTAL
1985,Unknown,0,0,0,0,0,0,5,2,0,0,0,0,7
1985,Pup,0,0,1,0,0,0,1,0,0,1,3,1,7
1985,Immature,0,0,0,1,0,0,1,2,2,0,0,1,7
1985,Sub-adult,2,0,0,1,1,0,1,2,1,2,0,1,11
1985,Adult,0,2,1,1,1,7,4,3,5,3,1,0,28
1985,Old Adult,0,2,1,1,1,1,0,0,1,4,0,1,12
1986,Unknown,0,0,0,0,0,0,0,1,0,2,0,0,3
1986,Pup,1,2,1,1,3,1,0,1,2,0,0,1,13
1986,Immature,0,1,1,1,1,0,1,1,3,0,1,1,11
1986,Subadult,0,0,0,1,1,1,3,7,1,2,0,0,16
1986,Adult,1,7,1,2,4,3,2,5,2,4,2,1,34
1986,Old Adult,0,0,1,0,0,0,0,1,0,0,0,2,4
1987,Unknown,0,0,0,0,0,3,2,4,1,1,0,0,11
1987,Pup,1,2,0,0,0,0,0,3,1,0,2,1,10
1987,Immature,1,1,1,0,3,1,1,1,0,1,0,1,11
1987,Subadult,2,0,3,2,1,2,1,5,1,0,1,2,20
1987,Adult,0,1,5,1,0,3,2,2,1,5,4,2,26
1987,Old Adult,0,3,1,1,1,2,1,1,0,4,0,2,16
1988,Unknown,0,2,1,0,0,1,0,0,0,0,2,1,7
1988,Pup,2,1,4,4,3,2,1,1,0,0,0,0,18
1988,Immature,1,0,2,0,0,2,0,2,2,1,0,0,10
1988,Subadult,0,1,1,0,0,0,0,2,2,0,3,2,11
1988,Adult,1,2,2,0,4,1,3,6,1,3,4,2,29
1988,Old Adult,1,0,2,0,1,1,1,4,1,1,1,0,13
1989,Pup,0,1,1,1,3,2,1,0,1,0,2,0,12
1989,Immature,0,1,0,1,0,1,0,0,0,1,1,0,5
1989,Subadult,0,2,2,1,0,1,1,4,2,1,0,0,14
1989,Adult,3,1,8,3,3,5,5,4,5,4,5,1,47
1989,Old Adult,0,1,3,0,0,0,0,0,2,1,3,0,10
1990,Unknown,2,4,1,0,0,0,1,0,1,0,0,0,9
1990,Pup,0,6,3,2,5,1,2,1,0,2,0,0,22
1990,Immature,0,0,1,0,0,1,0,0,0,1,0,1,4
1990,Subadult,2,2,0,2,0,2,0,2,1,1,1,3,16
1990,Adult,4,0,5,2,2,4,8,4,4,4,2,1,40
1990,Old Adult,1,4,1,1,0,1,0,2,0,1,1,0,12
1991,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,Pup,2,5,1,2,1,2,0,0,1,0,2,0,16
1991,Immature,0,0,0,2,1,2,0,0,0,1,0,0,6
1991,Subadult,0,1,1,1,0,2,1,1,0,0,1,1,9
1991,Adult,3,1,4,2,5,8,3,4,4,2,2,0,38
1991,Old Adult,1,1,0,2,2,1,1,1,2,1,0,0,12
1992,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,2
1992,Pup,4,1,4,1,2,1,4,4,5,1,1,2,30
1992,Immature,0,0,0,2,0,1,2,2,2,1,0,0,10
1992,Subadult,1,0,0,1,0,4,0,0,1,2,1,0,10
1992,Adult,3,1,2,2,3,5,7,10,3,3,3,5,47
1992,Old Adult,0,1,1,0,1,5,1,0,3,1,0,1,14
1993,Unknown,0,1,0,0,0,1,1,0,0,0,1,0,4
1993,Pup,0,2,3,5,4,3,2,0,2,2,2,4,29
1993,Immature,0,0,0,4,1,0,0,0,1,1,1,1,9
1993,Subadult,1,0,1,0,3,2,3,1,0,4,4,1,20
1993,Adult,7,5,1,2,5,6,5,3,2,8,4,4,52
1993,Old Adult,0,2,3,1,4,0,1,3,0,0,0,0,14
1994,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Pup,2,2,5,9,4,7,3,4,1,1,2,1,41
1994,Immature,2,1,2,1,0,1,2,0,1,1,1,0,12
1994,Subadult,0,2,2,0,2,0,0,2,1,1,0,0,10
1994,Adult,4,8,5,5,3,1,2,7,4,4,5,8,56
1994,Old Adult,1,0,0,3,2,2,0,3,1,1,0,1,14
1995,Unknown,0,0,0,1,0,0,0,0,0,0,1,0,2
1995,Pup,3,2,0,5,4,4,5,5,1,1,1,1,32
1995,Immature,0,0,0,2,0,2,4,3,0,1,4,1,17
1995,Subadult,0,3,3,1,5,1,1,0,3,2,1,2,22
1995,Adult,6,6,3,6,7,4,19,4,7,6,2,2,72
1995,Old Adult,2,0,0,4,1,1,3,2,1,0,3,1,18
1996,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,2
1996,Pup,2,2,1,7,0,3,1,0,3,3,1,1,24
1996,Immature,1,0,0,4,3,2,5,1,2,2,0,1,21
1996,Subadult,0,2,0,2,3,4,6,4,1,2,1,5,30
1996,Adult,0,5,6,7,7,5,22,9,9,5,2,6,83
1996,Old Adult,0,2,3,2,3,3,0,3,3,2,1,0,22
1997,Unknown,1,1,0,0,0,0,0,0,0,0,1,0,3
1997,Pup,4,2,5,8,2,4,1,2,1,1,1,0,31
1997,Immature,0,0,2,0,2,3,1,2,1,0,3,0,14
1997,Subadult,4,5,2,4,2,2,2,1,1,4,3,1,31
1997,Adult,8,4,2,6,3,2,10,10,7,7,2,1,62
1997,Old Adult,2,0,2,1,3,1,1,0,1,0,0,0,11
1998,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,1
1998,Pup,5,5,5,6,2,3,3,3,0,0,2,6,40
1998,Immature,1,1,4,5,5,1,1,1,1,1,3,3,27
1998,Subadult,1,2,2,5,6,10,4,1,0,0,1,0,32
1998,Adult,3,5,4,11,11,13,6,7,7,6,8,4,85
1998,Old Adult,0,0,5,2,3,4,3,3,1,3,3,1,28
1999,Unknown,0,0,0,0,1,1,0,1,0,0,0,0,3
1999,Pup,3,4,4,5,3,0,2,1,1,1,2,3,29
1999,Immature,3,3,3,3,2,1,1,2,5,1,0,2,26
1999,Subadult,1,2,3,2,2,1,1,1,0,1,1,1,16
1999,Adult,1,4,7,8,2,6,11,16,11,9,7,2,84
1999,Old Adult,3,2,3,2,1,2,0,7,3,2,3,1,29
2000,Unknown,0,0,0,1,0,0,0,0,1,0,1,0,3
2000,Pup,1,2,3,4,2,2,4,0,2,1,0,1,22
2000,Immature,2,2,5,3,0,2,2,1,0,2,1,1,21
2000,Subadult,0,0,3,1,1,0,2,0,2,0,4,2,15
2000,Adult,2,4,5,5,8,7,7,9,13,2,10,1,73
2000,Old Adult,1,0,2,4,0,3,3,2,1,1,1,1,19
2001,Unknown,0,0,0,0,0,0,0,1,0,1,0,0,2
2001,Pup,2,1,5,6,0,2,1,1,1,0,1,1,21
2001,Immature,0,4,6,9,5,0,1,1,1,1,3,4,35
2001,Subadult,0,1,1,2,4,1,1,3,2,4,1,2,22
2001,Adult,1,2,4,5,7,5,6,8,11,12,8,7,76
2001,Old Adult,3,2,1,3,0,4,5,3,3,1,2,0,27
2002,Unknown,0,0,0,0,0,0,1,0,0,0,1,0,2
2002,Pup,0,4,2,3,4,1,0,1,2,3,1,1,22
2002,Immature,0,0,2,1,6,3,3,2,2,0,2,1,22
2002,Subadult,1,2,0,4,0,1,3,1,2,0,1,0,15
2002,Adult,5,7,9,10,15,5,7,9,8,3,2,3,83
2002,Old Adult,3,1,4,4,6,1,4,2,2,5,2,3,37
2003,Unknown,0,0,0,0,0,0,0,1,0,0,1,0,2
2003,Pup,0,4,7,11,9,3,1,1,1,1,1,2,41
2003,Immature,2,4,3,6,4,4,3,1,1,1,1,1,31
2003,Subadult,1,2,3,4,0,0,3,4,2,5,4,0,28
2003,Adult,4,4,5,19,3,7,4,11,18,18,9,5,107
2003,Old Adult,0,3,5,8,5,1,3,7,6,11,3,1,53
2004,Unknown,0,0,0,0,0,0,0,0,1,1,0,0,2
2004,Pup,1,4,5,7,6,3,1,3,2,3,0,2,37
2004,Immature,2,2,1,8,8,3,3,6,3,2,1,1,40
2004,Subadult,2,3,2,15,3,0,6,4,3,2,1,2,43
2004,Adult,6,4,8,26,3,6,10,6,12,11,11,5,108
2004,Old Adult,5,7,2,7,6,6,5,5,2,1,0,5,51
2005,Unknown,1,0,0,0,1,0,0,1,0,0,2,1,6
2005,Pup,4,7,9,7,1,2,3,2,2,1,0,5,43
2005,Immature,2,8,5,7,4,4,4,7,3,1,2,2,49
2005,Subadult,2,3,3,7,1,0,2,3,6,4,3,1,35
2005,Adult,12,9,10,5,9,8,15,18,7,5,4,9,111
2005,Old Adult,0,2,2,3,2,7,3,5,1,0,1,2,28
2006,Unknown,1,1,1,1,1,0,1,1,1,0,1,0,9
2006,Pup,0,1,5,11,2,2,4,2,5,2,6,3,43
2006,Immature,3,4,2,5,6,7,4,4,3,4,4,3,49
2006,Subadult,2,1,2,4,3,2,8,5,2,4,0,2,35
2006,Adult,7,7,11,13,10,7,8,15,10,14,7,3,112
2006,Old Adult,0,0,4,1,1,0,3,1,4,2,1,2,19
2007,Unknown,0,0,0,0,0,0,0,1,1,0,5,0,7
2007,Pup,0,2,8,6,2,4,7,1,2,4,1,5,42
2007,Immature,2,4,6,9,5,6,2,7,2,5,10,3,61
2007,Subadult,1,2,4,3,4,5,5,5,7,9,2,4,51
2007,Adult,4,6,9,11,8,9,7,12,8,10,9,11,104
2007,Old Adult,2,4,1,3,5,0,5,3,2,3,2,4,34
2008,Unknown,0,1,0,0,1,0,0,0,0,1,1,0,4
2008,Pup,4,8,4,1,9,7,3,1,0,5,0,1,43
2008,Immature,6,5,8,7,6,6,1,3,1,2,1,2,48
2008,Subadult,1,3,8,1,2,3,3,1,4,2,2,4,34
2008,Adult,4,9,2,8,5,12,5,11,10,6,4,4,80
2008,Old Adult,1,3,6,1,2,1,3,2,3,2,1,3,28
2009,Unknown,0,0,0,0,1,1,1,0,1,2,0,0,6
2009,Pup,0,6,6,2,3,2,1,1,2,3,0,2,28
2009,Immature,3,0,1,6,4,5,1,1,3,2,3,1,30
2009,Subadult,2,3,6,2,0,2,2,4,4,5,4,5,39
2009,Adult,4,6,11,8,4,6,9,12,7,21,7,12,107
2009,Old Adult,2,1,3,0,1,3,1,2,2,3,1,3,22
2010,Unknown,0,0,0,0,0,0,0,0,1,0,1,0,2
2010,Pup,6,5,8,11,2,3,8,4,4,6,2,3,62
2010,Immature,1,2,10,12,7,4,1,2,3,1,1,2,46
2010,Subadult,0,1,4,3,0,1,4,9,7,1,1,2,33
2010,Adult,7,7,12,14,7,6,15,13,17,14,12,6,130
2010,Old Adult,0,3,3,4,7,2,4,1,1,3,1,3,32
2011,Unknown,1,0,0,0,0,0,0,2,0,0,1,2,6
2011,Pup,3,2,5,6,5,0,1,7,6,2,3,7,47
2011,Immature,4,3,3,5,4,1,3,4,1,5,2,0,35
2011,Subadult,1,5,2,4,4,3,2,6,5,7,1,3,43
2011,Adult,17,14,14,13,12,8,6,17,22,22,16,8,169
2011,Old Adult,3,5,3,1,3,2,3,6,3,5,0,1,35
2012,Unknown,1,2,2,0,0,0,1,2,2,0,1,1,12
2012,Pup,5,11,7,6,3,6,4,2,3,0,0,5,52
2012,Immature,2,0,5,4,2,5,2,2,4,2,1,3,32
2012,Subadult,7,7,0,5,9,8,7,7,6,3,2,6,67
2012,Adult,18,14,17,8,13,13,11,15,13,23,9,12,166
2012,Old Adult,5,3,2,4,2,3,9,2,2,4,1,2,39
2013,Unknown,1,1,0,0,0,2,2,2,1,4,2,0,15
2013,Pup,3,3,5,5,0,5,2,1,4,0,4,2,34
2013,Immature,2,6,5,5,6,3,5,2,4,2,2,1,43
2013,Subadult,7,4,6,1,5,3,4,5,10,7,2,1,55
2013,Adult,6,15,20,13,8,6,16,13,23,13,15,16,164
2013,Old Adult,3,2,7,2,3,0,2,2,4,1,2,1,29
2014,Unknown,1,3,0,1,0,1,3,3,2,3,1,1,19
2014,Pup,5,3,5,4,1,5,1,3,3,3,1,7,41
2014,Immature,2,1,4,5,9,1,4,4,8,3,2,1,44
2014,Subadult,6,7,8,2,2,3,9,11,16,15,10,2,91
